(eemale, ära) ajama	гнать
internet	интернет
invaliid	инвалид
invaliidikäru	инвалидная коляска
investeerima	инвестировать
investeeringud	инвестиции
Iraak	Ирак
Iraan	Иран
isa	отец
isa (paps)	папа
isane	самец
isasloom	самец
ise	сам
iseloom	характер
iseloomujooned	черты характера
iseravimine	лечение
isiklik	персональный
isiklik arst	личный врач
islam	Ислам
Island	Исландия
island lanna	исландка
islandi	исландский
islandlane	исландец
Issand	Г осподь
Istanbul	Стамбул
istandus	плантация
iste	сиденье
istuma	садиться
istuma	сесть
istuma	сидеть
Itaalia	Италия
itaalia	итальянский
itaallane	итальянец
itaallanna	итальянка
itta	на восток
ja	и
ja (jaatus)	да
ja (sidesõna)	и
jaa	да
jaa	лёд
jää	лёд
jaaaeg	ледниковый период
jääauk	прорубь
jaaguar	ягуар
jäähokit mängima	играть в хоккей
jääkapp	морозильник
jääkaru	белый медведь
jäälõhkuja	ледокол
jaam	станция
jääma	оставаться
jaanalind	страус
jaaniuss	светлячок
jaanuar	январь
Jaapan	Япония
jaapani	японский
jääpank	льдина
jaapanlane	японец
jaapanlanna	японка
Jäär	Овен
jäärak	овраг
jäätis	мороженое
jae	розничный
jaemüük	продажа в розницу
jagama	делить (матем.)
jagu	ВЗВОД
jahe	прохладный
jahikoer	охотничья собака
jahil käima	охотиться
jahimees	ОХОТНИК
jaht	яхта
jahtuma	охлаждаться
jahu	мука
jahutama	охладить
jahutusvedelik	охлаждающая жидкость
jakk	жакет
jakk	кофта (шерстяная)
jalaga lööma	лягнуть
jalakäija	пешеход
jalakäijate tsoon	пешеходная зона
jalakäijate tunnel	подземный переход
jalakäijate ülekäik	пешеходный переход
jalakas	вяз
jalalaba	ступня
jalam	подножие (горы)
jalatsid	обувь
jalg	лапа (птицы)
jalg	нога
jalg	ножка (стола, стула)
jalg	фут
jälg	след
jälg	след (отпечаток ноги)
jälgima	наблюдать
jälgima	следить (выслеживать)
jalgpall	футбол
jalgpalli mängima	играть в футбол
jalgpalliklubi	футбольный клуб
jalgpallur	футболист
jalgrada	тропинка
jalgratas	велосипед
jalgrattaga sõitma	ехать на велосипеде
jalgrattasport	велоспорт
jalgrattur	велосипедист
jalgsi	пешком
jälitama	преследовать
jälle	опять
jalus	стремя
jalutama	гулять (прогуливаться)
jalutuskäik	прогулка (пешком)
jalutuskepp	трость
jama, mõttetus	ерунда
Jamaika	Ямайка
jänes	заяц
jänesepoeg	зайчонок
Jangtse	Янцзы
jaoks	для (предлог)
jard	ярд
järele jõudma	обогнать
järelepärimine	запрос
järelkäru	прицеп
järelliide	суффикс
järelvaataja	охранник (в тюрьме)
järglased	ПОТОМСТВО
järgmine	следующий
järgmine kord	в следующий раз
järgmine peatus	следующая остановка
järgmiseks päevaks	на следующий день
järgmisel aastal	в следующем году
järgmisel nädalal	на следующей неделе
järgmises kuus	в следующем месяце
järgnema	следовать за ...
järjehoidja	закладка
järjekord	очередь (в первую ~)
järsk kurv	крутой поворот
järsk lang	крутой спуск
järv	озеро
jasmiin	жасмин
jässakas	коренастый
jätkama	продолжать
jeen	йена
Jeesus	Иисус
Jeesus Kristus	Иисус Христос
Jeruusalemm	Иерусалим
jõehobu	бегемот
jõgi	река
jogurt	йогурт
jõhker	грубый
jõhvikas	клюква
jood	йод
jooga	йога
joogi-	питьевая
joogivesi	питьевая вода
jooks	бег
jooks uaed	вольер
jooksja	бегун
jooksma	бегать
jooksma	бежать
jooksurada	беговая дорожка
jooma	пить
joon	линия
joon	черта
joonestama	чертить
joonis	чертёж
joonistama	рисовать
joonistama	рисовать (карандашом)
joonistama	рисовать (красками)
joonistus	рисунок
joonlaud	линейка
jootekolb	паяльник
jootma	паять
jootma	поить
jope	куртка (кожаная и т.п.)
Jordaania	Иордания
jõud	сила
jõud	сила (мощь)
jõud	сила (человека)
jõudma	достигать (напр. - полюса)
jõulud	рождество
Jõuluvana	Санта Клаус
jõupingutus	усилие
juba	уже
judaism	Иудаизм
judo	дзюдо
juga	водопад
juhataja	руководитель, шеф
juhataja	управляющий
juhe	провод
juhiload	водительские права
juhiload	права водительские
juht	глава (~ делегации)
juht	менеджер
juhtima	вести (автомобиль)
juhtima	руководить (чем-л.)
juhtimine	управление (процесс)
juhtkond	начальство
juhtlause	девиз
juhtmed	проводка
juhtmestik	проводка
juhtum	происшествие
juhtuma	случиться
juhuslikult	случайно
julge	смелый
julgus	смелость
julm	жестокий
jumal	бог
Jumalaema	Богородица
jumalanna	богиня
jumalat uskuma	верить (в бога)
jumalateenistus	служба (рел.)
junga	юнга
Jupiter	Юпитер
juriidiline	юридический
juriidiline aadress	юридический адрес
jurist	юрист
jutlus	проповедь
